;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
resource_name/ammo_mech_energy_cell_lvl2;Energy cell <img="gui/hud/building_info_mech"> adv.;;;;;;;能量电池<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_energy_cell_lvl3;Energy cell <img="gui/hud/building_info_mech"> top end;;;;;;;能量电池<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_explosive_lvl2;Explosive <img="gui/hud/building_info_mech"> adv.;;;;;;;爆炸物<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_explosive_lvl3;Explosive <img="gui/hud/building_info_mech"> top end;;;;;;;爆炸物<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_high_caliber_lvl2;High caliber <img="gui/hud/building_info_mech"> adv.;;;;;;;大口径弹药<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_high_caliber_lvl3;High caliber <img="gui/hud/building_info_mech"> top end;;;;;;;大口径弹药<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_liquid_lvl2;Liquid <img="gui/hud/building_info_mech"> adv.;;;;;;;液体弹药<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_liquid_lvl3;Liquid <img="gui/hud/building_info_mech"> top end;;;;;;;液体弹药<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_mech_low_caliber_lvl2;Low caliber <img="gui/hud/building_info_mech"> adv.;;;;;;;小口径弹药<img="gui/hud/building_info_mech"> 高级;;
resource_name/ammo_mech_low_caliber_lvl3;Low caliber <img="gui/hud/building_info_mech"> top end;;;;;;;小口径弹药<img="gui/hud/building_info_mech"> 顶级;;
resource_name/ammo_tower_energy_cell;Energy cell <img="gui/hud/building_info_tower">;;;;;;;能量电池<img="gui/hud/building_info_tower">;;
resource_name/ammo_tower_energy_cell_lvl2;Energy cell <img="gui/hud/building_info_tower"> adv.;;;;;;;能量电池<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_energy_cell_lvl3;Energy cell <img="gui/hud/building_info_tower"> top end;;;;;;;能量电池<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_explosive_lvl2;Explosive <img="gui/hud/building_info_tower"> adv.;;;;;;;爆炸物<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_explosive_lvl3;Explosive <img="gui/hud/building_info_tower"> top end;;;;;;;爆炸物<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_high_caliber_lvl2;High caliber <img="gui/hud/building_info_tower"> adv.;;;;;;;大口径弹药<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_high_caliber_lvl3;High caliber <img="gui/hud/building_info_tower"> top end;;;;;;;大口径弹药<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_liquid_lvl2;Liquid <img="gui/hud/building_info_tower"> adv.;;;;;;;液体弹药<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_liquid_lvl3;Liquid <img="gui/hud/building_info_tower"> top end;;;;;;;液体弹药<img="gui/hud/building_info_tower"> 顶级;;
resource_name/ammo_tower_low_caliber_lvl2;Low caliber <img="gui/hud/building_info_tower"> adv.;;;;;;;小口径弹药<img="gui/hud/building_info_tower"> 高级;;
resource_name/ammo_tower_low_caliber_lvl3;Low caliber <img="gui/hud/building_info_tower"> top end;;;;;;;小口径弹药<img="gui/hud/building_info_tower"> 顶级;;
